Tipo,Matéria,Assunto,Questões Encontradas,Percentual (%),Freq. Acumulada,Questões no Caderno
ASSUNTO,História,"Religião, Sociedade e Cultura na Primeira República",5,0.09%,92.26%,0
ASSUNTO,História,"Repressão Aberta e Autoritarismo Máximo (1968 - 1974; AI-5, EC 1/69, DOI-CODI, Guerrilha do Araguaia)",5,0.09%,92.61%,0
ASSUNTO,História,"Reformas Administrativas, Investimentos e Reformas Públicas no Regime Militar: o Brasil Potência",5,0.09%,92.95%,0
ASSUNTO,História,Política Externa na Nova República,5,0.09%,93.30%,0
ASSUNTO,História,Colonialismo,5,0.09%,93.64%,0
ASSUNTO,História,Século XXI,5,0.09%,93.99%,0
ASSUNTO,História,Imigração e Substituição do Trabalho Escravo no Segundo Reinado,4,0.07%,94.26%,0
ASSUNTO,História,Guerra do Paraguai (1864-1870),4,0.07%,94.54%,0
ASSUNTO,História,"Religião, Sociedade e Cultura durante o Segundo Reinado (Educação, Ciência, Artes)",4,0.07%,94.82%,0
ASSUNTO,História,Governo Floriano Peixoto (Revolução Federalista),4,0.07%,95.09%,0
ASSUNTO,História,"Religião, Sociedade e Cultura na Era Vargas. Movimentos Sociais (AIB, ANL, Movimento Comunista, Movimento Modernista, etc)",4,0.07%,95.37%,0
ASSUNTO,História,"Consolidação do Regime Militar (1964 - 1968; Inclui AI-1 até AI-4, e CF 1967)",4,0.07%,95.65%,0
ASSUNTO,História,Iluminismo,4,0.07%,95.92%,0
ASSUNTO,História,"Revolução Inglesa (Puritana, Guerra Civil, Oliver Cromwell, Stuart, Revolução Gloriosa)",4,0.07%,96.20%,0
ASSUNTO,História,África e Ásia Pós-descolonização,4,0.07%,96.48%,0
ASSUNTO,História,Exploração da Cana de Açúcar (Brasil Colônia),3,0.05%,96.68%,0
ASSUNTO,História,Outras Questões sobre a Primeira República,3,0.05%,96.89%,0
ASSUNTO,História,"Artes, Cultura e Sociedade no Regime Militar",3,0.05%,97.10%,0
ASSUNTO,História,Outras Questões e Questões Mescladas sobre o Regime Militar,3,0.05%,97.30%,0
ASSUNTO,História,"Artes, Culturas e Sociedades: do Renascimento ao Pré-romantismo",3,0.05%,97.51%,0
ASSUNTO,História,Apoio,3,0.05%,97.72%,0
ASSUNTO,História,Invasões Estrangeiras durante o Período Colonial,2,0.04%,97.86%,0
ASSUNTO,História,"Guerras e Conflitos Internos no Período Colonial (Emboabas, Mascates, Revolta de Beckman, Filipe dos Santos etc)",2,0.04%,98.00%,0
ASSUNTO,História,Religião durante o Período Colonial (inclui Missões Jesuíticas),2,0.04%,98.13%,0
ASSUNTO,História,Economia no Primeiro Reinado,2,0.04%,98.27%,0
